Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|P08579|RU2B_HUMAN,1.58E+06,1.50E+06,1.65E+04,8.67E+05,2.92E+04,1.48E+06,0,1.74E+06,1.84E+06
sp|P08621|RU17_HUMAN,9.53E+05,2.31E+06,1.44E+06,3.33E+05,0,0,0,4.81E+04,1.84E+05
sp|P08670|VIME_HUMAN,2.00E+07,3.01E+07,8.37E+06,2.12E+07,1.20E+07,1.07E+07,2.12E+07,1.73E+07,3.75E+07
sp|P08708|RS17_HUMAN,6.18E+06,3.83E+06,0,1.02E+07,4.77E+06,0,0,4.69E+06,4.72E+06
sp|P08754|GNAI3_HUMAN,9.29E+04,4.05E+05,0,6.72E+05,0,3.54E+05,0,3.46E+05,4.71E+05
sp|P08865|RSSA_HUMAN,4.36E+05,5.36E+05,0,9.17E+05,3.44E+04,0,0,4.81E+05,6.33E+05
sp|P09012|SNRPA_HUMAN,3.97E+06,5.85E+06,3.28E+06,7.27E+05,1.42E+04,0,0,6.43E+05,5.71E+05
sp|P09234|RU1C_HUMAN,3.43E+05,1.99E+06,3.34E+04,0,0,0,0,1.67E+05,0
sp|P09651|ROA1_HUMAN,7.14E+07,8.47E+07,5.12E+07,4.68E+07,4.14E+07,1.87E+07,2.50E+07,2.83E+07,3.15E+07
sp|P09661|RU2A_HUMAN,1.45E+06,7.55E+05,0,1.49E+06,0,0,0,4.36E+06,2.08E+06
sp|P09874|PARP1_HUMAN,1.58E+04,0,0,4.68E+04,0,0,0,9.93E+04,0
sp|P09884|DPOLA_HUMAN,1.37E+04,0,0,0,0,0,0,0,0
sp|Q71UI9|H2AV_HUMAN,1.73E+07,2.50E+07,6.61E+06,1.29E+07,2.24E+07,1.50E+07,3.48E+06,5.27E+06,1.11E+07
sp|Q99878|H2A1J_HUMAN,0,0,0,0,0,0,0,0,0
sp|P0DMV9|HS71B_HUMAN,4.72E+05,6.35E+05,1.29E+05,8.33E+05,1.24E+05,5.50E+04,1.34E+05,8.31E+05,5.09E+05
sp|P0DN76|U2AF5_HUMAN,4.55E+06,7.80E+06,3.11E+06,1.74E+07,6.96E+06,1.24E+06,7.96E+06,1.50E+07,1.25E+07
sp|P0DN79|CBSL_HUMAN,3.05E+04,0,0,0,0,0,0,5.22E+04,0
sp|P0DP25|CALM3_HUMAN,6.73E+04,1.73E+05,0,1.13E+05,0,0,0,0,0
sp|Q9Y3L5|RAP2C_HUMAN,6.35E+04,0,0,0,0,0,0,5.09E+04,0
sp|P10412|H14_HUMAN,3.96E+06,4.12E+06,3.50E+06,6.84E+06,7.47E+06,1.39E+07,1.07E+06,2.73E+06,4.02E+06
sp|P10515|ODP2_HUMAN,1.39E+06,1.90E+06,2.45E+05,1.25E+06,1.15E+05,5.66E+05,0,1.66E+06,6.43E+05
sp|P10599|THIO_HUMAN,0,1.83E+05,0,7.94E+05,2.04E+05,0,0,1.69E+05,0
sp|P10809|CH60_HUMAN,1.09E+06,7.83E+05,0,1.45E+06,0,4.85E+04,0,1.57E+06,7.46E+05
sp|P11021|BIP_HUMAN,2.57E+05,3.22E+05,0,5.86E+05,0,0,0,4.99E+05,6.49E+05
sp|P11142|HSP7C_HUMAN,2.30E+06,1.67E+06,0,2.17E+06,0,0,0,2.74E+06,1.71E+06
sp|P11171|41_HUMAN,9.63E+04,7.19E+04,0,1.02E+05,0,3.06E+04,0,1.21E+05,8.72E+04
sp|P11234|RALB_HUMAN,6.21E+04,0,0,0,0,0,0,0,0
sp|P11387|TOP1_HUMAN,0,0,0,0,0,0,0,5.91E+04,0
sp|P11940|PABP1_HUMAN,2.69E+06,2.71E+06,1.42E+06,2.19E+06,8.22E+05,2.79E+06,5.29E+05,1.38E+06,1.96E+06
